address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"9425 Old Village Dr, Loveland, OH 45140",4.0,4.0,2317.0,0.23418273645546372,12.92391243868049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6477 Smith Rd, Loveland, OH 45140",5.0,1.0,2072.0,1.2899908172635446,12.47227568630483,1,5,Central,2,Wood Stove,Average,,,Aluminum/Vinyl,Residential,MORRISON &amp; DONNELLS MS 3775,"2,872","2,872",1,,,Frame Garage,616,Frame,1,"56,192",,,GOSHEN TWP,1.29,SINGLE FAMILY,2022,,Partial,Wood,7,Split Level,840,,,,,Available,800,,,,,Finished,,,,,,
"6317 Wilmington Ct, Loveland, OH 45140",5.0,4.5,4228.0,0.5509871441689623,13.243695662571854,4,16,Central,1,Prefab,Average,,,Frame/Masonry,Residential,MITCHELL FARM SEC 03,"4,228","5,358",2,,MITCHELL FARM SECTION 3 LOT 86,Masonry/Brick Garage,630,Masonry/Brick,1,"24,002",86,,MIAMI TWP,0.551,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,696",,,,,,668,1,Central,Public,Public,,,,,,,
"5985 Marsh Cir, Loveland, OH 45140",3.0,2.5,1872.0,0.1919880624426079,12.404923504275338,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLAND STREAMS SEC 1,"1,872","1,872",2,,WOODLAND STREAMS SECTION 1 BLOCK A LOT 15,Frame Garage,400,Frame,1,"8,364",15,,GOSHEN TWP,0.192,SINGLE FAMILY,2022,,,,7,Colonial,792,A,,,,,,1,Central,Public,Public,,,,,,,
"1663 Fairway Crst, Loveland, OH 45140",5.0,5.0,5783.0,0.512,13.565766324852886,3,13,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,OASIS GOLF CLUB COMMUNITY SEC 4,"5,783","7,100",2,,OASIS GOLF CLUB IV LOT 82,Masonry/Brick Garage,722,Masonry/Brick,1,"22,303",82,,MIAMI TWP,0.512,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,339",,,,,,"2,517",1,Central,Public,Public,Finished,,,,,,
"2633 Autumn Harvest Dr, Loveland, OH 45140",4.0,5.0,3081.0,0.20220000000000002,13.480037821676145,3,14,Forced Air,1,1 Opening,Average,Concrete,Frame/Masonry,,Single Family,LEGACY ELLIOTT FRM2C,"3,081","3,257",,,,,484,,1,"8,808",131,,DEERFIELD TWP,0.2022,SINGLE FAMILY DWELLING,2022,,Full,,,,,C,,,,,,1,,,,,Building,,,,,
"843 Mohican Dr, Loveland, OH 45140",3.0,1.0,1269.0,0.168,12.2783933071098,1,,,,,Good,Concrete,Brick/Frame,Frame/Masonry,,STONEYBROOK SUB,"1,269","1,269",1,1,MOHICAN DR 60 X 122.32 IRR LOT 116 STONEYBROOK SUB BLK E,,,,1,"7,318",116,,LOVELAND CITY,0.168,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,269",E,122.32,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"6612 Paxton Guinea Rd, Loveland, OH 45140",4.0,3.0,2056.0,0.4599862258953168,12.665119593972449,2,8,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,PAXTON WOODS SEC 1,"2,056","2,056",2,,PAXTON WOODS LOT 7,Masonry/Brick Garage,400,Masonry/Brick,1,"20,038",7,,MIAMI TWP,0.46,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,888,,,,,Available,,,Central,Public,Public,,,,,,,
"6109 Pine Meadows Dr, Loveland, OH 45140",3.0,3.0,1884.0,0.344,12.524526376648708,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,TIMBER RIDGE SEC 1,"1,884","2,124",2,,TIMBER RIDGE SECTION 1 LOT 15,Frame Garage,400,Frame,1,"14,985",15,,GOSHEN TWP,0.344,SINGLE FAMILY,2022,,Full,,6,Colonial,784,,,,,,240,1,Central,Public,Public,,,,,,,
"6617 Paxton Guinea Rd, Loveland, OH 45140",3.0,1.0,1008.0,1.21,12.230765258120545,1,5,Central,,,Average,,,Aluminum/Vinyl,Residential,,"1,008","1,008",1,,,Detached Frame Garage,480,Detached Frame,1,"53,056",,,MIAMI TWP,1.218,SINGLE FAMILY,2022,,,,5,Ranch,720,,,,,Available,,,Central,Public,Public,,,,,,,
"112 Blossom View Dr #504, Loveland, OH 45140",3.0,2.0,2465.0,0.4589990817263544,13.167145520176222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10678 Fallis Rd, Loveland, OH 45140",3.0,1.0,1380.0,0.9759871441689624,12.388394202324129,1,,,1,,Average,Concrete Block,Brick,Brick,,,"2,280","2,760",1,1,FALLIS RD 100.61 X 438.77IRR R2-T4-S13,Detached Concrete Block Garage,240,Detached Concrete Block,1,"42,515",,,SYMMES TOWNSHIP,0.976,SINGLE FAMILY,2022,,Full,Gas,6,Conventional,"1,380",,438.77,100.61,RESID-SINGLE FAMILY,Connected,"1,380",,Central,,,,,,B,,,
"6 Iroquois Dr, Loveland, OH 45140",3.0,1.0,924.0,0.2609963269054178,12.069680020624618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3835 Parkwood Ct, Loveland, OH 45140",3.0,3.0,1647.0,0.3056,12.822608723718279,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNA,"1,647","2,047",1.5,1  1/2,HERITAGE GREEN BLK A #73,Attached Garage,400,Attached,1,"13,312",73,LOVELAND CITY,DEERFIELD TWP,0.3056,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,A,,,,,,1,,,,Finished,,,,,,
"893 Miamiridge Dr, Loveland, OH 45140",4.0,2.5,3484.0,1.2379935720844812,13.473020249017498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11634 Windy Hill Ct, Loveland, OH 45140",3.0,2.5,2004.0,0.09499540863177226,13.155798153490567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"813 Kenmar Dr, Loveland, OH 45140",3.0,2.0,1543.0,0.14100000000000001,12.456831363877356,2,,,1,,Fair,Concrete Block,,Frame/Masonry,,STONEYBROOK,"1,543","2,068",2,2,KENMAR DR 51.04 X 102.78 IRR LOT 9 STONEYBROOK BLKI PT 1,Attached Garage,525,Attached,1,"6,142",9,,LOVELAND CITY,0.141,SINGLE FAMILY,2022,,,Gas,5,Conventional,475,I,102.78,51.04,RESID-SINGLE FAMILY,Connected,,,Central,,,,,2,,,,
"751 Evergreen Pl, Loveland, OH 45140",3.0,4.0,2004.0,0.617,12.429216196844383,2,8,Central,,,Average,,,Frame,Residential,NEW ENGLAND ESTATES,"2,004","2,004",1,,NEW ENGLAND ESTATES BLK B LOT 14,Frame Garage,528,Frame,1,"26,877",14,,MIAMI TWP,0.617,SINGLE FAMILY,2022,,Full,Wood,6,Ranch,"2,004",B,,,,Available,,,Central,,,,,,,,,
"179 Glen Lake Rd, Loveland, OH 45140",4.0,3.0,1890.0,0.24799999999999997,12.765688433465597,2,,,1,,Fair,Concrete Block,Brick,Frame/Masonry,,GLEN LAKE COMMUNITY SUB,"1,890","2,808",2,2,GLEN LAKE RD 68.84 X 152.74 IR LOT 192 GLEN LAKE COMMUNITY SUB BLK A,Basement Garage,,Basement,1,"10,803",192,,LOVELAND CITY,0.248,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,918,A,152.74,68.84,RESID-SINGLE FAMILY,Connected,918,1,Central,,,,,2,,,,
"11634 Windy Hill Ct, Loveland, OH 45140",3.0,3.0,4088.0,0.85,13.155798153490567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6685 Susan Dr, Loveland, OH 45140",3.0,1.5,1557.0,0.529981634527089,12.289954129510877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1238 Retswood Dr, Loveland, OH 45140",4.0,3.0,3078.0,2.75,13.06367438105565,2,8,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,CEDAR CREEK,"3,078","3,078",1,,CEDAR CREEK LOT 16,Masonry/Brick Garage,"1,612",Masonry/Brick,1,"119,790",16,,MIAMI TWP,2.75,SINGLE FAMILY,2022,,Full,Wood,6,Split Level,"2,003",,,,,Available,"1,075",,Central,,,Finished,,,,,,
"9758 Farmstead Dr, Loveland, OH 45140",4.0,4.0,3820.0,0.523,13.233725845257789,3,,,1,,Average,,Brick/Frame,Frame/Masonry,,STONEBRIDGE FARMS SUB,"3,820","6,521",2,2,FARMSTEAD DR 111.52 X 192.28 IRR LOT 128 STONEBRIDGE FARMS SUB PT 2 BLK A,Attached Frame Garage,638,Attached Frame,1,"22,782",128,,SYMMES TOWNSHIP,0.523,SINGLE FAMILY,2022,,Full,Gas,12,Conventional,"2,521",A,192.28,111.52,RESID-SINGLE FAMILY,Connected,"2,063",1,Central,,,,,3,A,,,
"10220 Elmfield Dr, Loveland, OH 45140",4.0,4.0,4427.0,0.3127,13.27851205989426,2,,,1,,Average,,,Frame/Masonry,,PLANTATION POINTE SUB,"3,427","5,655",2,,NS ELMFIELD DR 0.3127 AC LOT 5 PLANTATION POINTE SUBBLK A,Brick Garage,782,Brick,1,"13,621",5,,SYMMES TOWNSHIP,0.3127,SINGLE FAMILY,2022,,Full,,10,Conventional,"1,464",A,,,RESID-SINGLE FAMILY,,"1,446",1,Central,,,,,,B,,,
"6433 Birch Creek Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.5109963269054179,13.899851706398024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10750 Bentley Pass Ln, Loveland, OH 45140",5.0,3.0,3440.0,1.834,13.369223455335854,2,,,1,,Good,Concrete Block,Brick,Brick,,BENTLEY PASS SUB,"3,440","4,792",2,2,BENTLEYPASS LN 91.43 X 587.67 IR LOT 15 BENTLEY PASS SUB,Attached Brick Garage,462,Attached Brick,1,"79,889",15,,SYMMES TOWNSHIP,1.834,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,558",,587.67,91.43,RESID-SINGLE FAMILY,Connected,"1,540",1,Central,,,,,2,A,,,
"500 Pintail Dr, Loveland, OH 45140",4.0,2.0,1870.0,0.4359963269054178,12.604848765487542,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,PHEASANT HILLS SUB,"2,705","3,271",1,1,PINTAIL DR 100 X 190 LOT 62 PHEASANT HILLS SUBBLK D PT 1,Attached Brick Garage,483,Attached Brick,1,"18,992",62,,LOVELAND CITY,0.436,SINGLE FAMILY,2022,,Partial,Gas,8,Conventional,"1,870",D,190,100,RESID-SINGLE FAMILY,Connected,918,,Central,,,,,2,,,,
"166 Glen Lake Rd, Loveland, OH 45140",4.0,3.0,2210.0,0.3049816345270891,12.89921982609012,2,,,1,,Average,Concrete Block,Brick/Frame,Frame/Masonry,,LAKE COMMUNI TY SUB,"2,210","3,409",2,2,GLEN LAKE RD 70 X 190 LOT 173 GLEN LAKE COMMUNITY SUB BLK A,Attached Brick Garage,523,Attached Brick,1,"13,286",173,,LOVELAND CITY,0.305,SINGLE FAMILY,2022,,Partial,Gas,7,Conventional,"1,222",A,190,70,RESID-SINGLE FAMILY,Connected,676,1,Central,,,,,2,,,,
"727 Baxter Rd, Loveland, OH 45140",2.0,2.0,1947.0,6.0,12.206072645530174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3905 Carriage Hill Ln, Loveland, OH 45140",2.0,3.0,1831.0,0.16069788797061524,12.779873068457553,2,10,Forced Air,1,1 Opening,Very Good,Concrete,Frame,Aluminum/Vinyl,Single Family,VILLHERITAGE GRNC,"3,181","3,581",1,1,VILL.HERITAGE GRN.C #116,Attached Garage,400,Attached,1,"7,000",116,LOVELAND CITY,DEERFIELD TWP,0.1607,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,C,,,,,"1,350",1,,,,Finished,,,,,,
"10429 Willow Dr, Loveland, OH 45140",3.0,2.0,1631.0,0.1909779614325069,12.721885810807203,2,,,1,,Average,,,Frame/Masonry,,LOVELAND PARK SUB,"1,631","3,746",1,,SS WILLOW RD 0.191 ACLOTS 3908 TH 3911 LOVELAND PARK SUB,Attached Brick Garage,484,Attached Brick,1,"8,320",3908,,SYMMES TOWNSHIP,0.191,SINGLE FAMILY,2022,,Full,,6,Conventional,"1,631",,,,RESID-SINGLE FAMILY,,"1,631",,Central,,,,,,C,,,
"1312 Tuscarora Dr, Loveland, OH 45140",3.0,1.0,1325.0,0.15,12.154779351142624,1,,,1,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS,"1,325","1,325",1,1,TUSCARORA DR 60 X 110.26 LOT 117 LOVELAND HTS BLK B,,,,1,"6,621",117,,LOVELAND CITY,0.152,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,325",B,110.26,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"3414 Fields Ertel Rd, Loveland, OH 45140",4.0,2.0,2000.0,0.5599862258953168,12.160552130228364,2,8,Forced Air,1,1 Opening,Average,Concrete Block,Frame,Aluminum/Vinyl,Single Family,,"2,000","2,762",1,1,2 -4-20 .5630 AC.,Attached Garage,537,Attached,1,"24,524",,LOVELAND CITY,DEERFIELD TWP,0.563,SGL FAM DWG 0-9.99 AC,2022,KINGS LSD,,,,,,,,,,,,,,,,,,,,,,
"1296 Cross Creek Dr, Loveland, OH 45140",4.0,3.0,1739.0,0.24200000000000002,12.591335046320818,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,TIMBER RIDGE SEC 1,"1,739","1,739",2,,TIMBER RIDGE SECTION 1 LOT 10,Frame Garage,437,Frame,1,"10,542",10,,GOSHEN TWP,0.242,SINGLE FAMILY,2022,,Full,,7,Colonial,760,,,,,,,1,Central,Public,Public,,,,,,,
"6699 Pin Oak Dr, Loveland, OH 45140",3.0,1.0,1248.0,0.2929981634527089,11.918390573078392,1,5,Central,,,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 4,"1,248","1,248",1,,OAK KNOLL ESTATES II SECTION 4 LOT 123,Frame Garage,,,1,"12,763",123,,GOSHEN TWP,0.293,SINGLE FAMILY,2022,,,Gas,5,Ranch,960,,,,,Available,,,,Public,Public,,,,,,,
"10421 Konstantine Ln, Loveland, OH 45140",4.0,3.5,4500.0,2.0,13.641157170819497,3,13,Forced Air,2,,Good,Concrete,Brick,Masonry,Single Family,LAKE DIANE ESTATES,"3,983","4,823",2,2,LAKE DIANE ESTATES #9,Attached Garage,840,Attached,1,"86,454",9,,HAMILTON TWP,1.9847,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,,1,,,,,Building,,,,,
"1830 Heidelberg Dr, Loveland, OH 45140",3.0,1.5,1026.0,0.2349862258953168,12.18497157562212,1,,,,,Good,Concrete,Brick/Frame,Frame/Masonry,,C HUBER HERNERT,"1,026","1,350",1,1,HEIDELBERG DR 67.51 X 140IRR LOT 85 HERBERT C HUBER PL 45-C,Attached Brick Garage,324,Attached Brick,1,"10,237",85,,LOVELAND CITY,0.235,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,"1,026",,140,67.51,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,1,A,,,
"6580 Divot Ct, Loveland, OH 45140",4.0,3.0,2976.0,0.439,13.190022025878143,2,10,Central,,,Average,,,Frame/Masonry,Residential,RESERVE/OASIS,"2,976","3,352",2,,THE RESERVE AT THE OASIS LOT 19,Masonry/Brick Garage,504,Masonry/Brick,1,"19,123",19,,MIAMI TWP,0.439,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,132",,,,,,376,1,Central,Public,Public,,,,,,,
"6680 Waters Edge Ct, Loveland, OH 45140",4.0,5.0,3424.0,0.634,13.527828485512494,2,10,Central,1,Wood Stove,Average,,,Brick,Residential,OASIS POINTE,"3,424","4,604",2,,OASIS POINTE LOT 25,Masonry/Brick Garage,764,Masonry/Brick,1,"27,617",25,,MIAMI TWP,0.634,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,122",,,,,,"1,180",1,Central,Public,Public,,,,,,,
"6849 Obannon Blf, Loveland, OH 45140",4.0,4.0,2891.0,0.6199954086317723,13.180632285528304,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,FAIRWAYS AT OBANNON CREEK SEC 1 BL A,"3,028","3,577",2,,FAIRWAYS AT OBANNON CREEK LOT 129,Masonry/Brick Garage,690,Masonry/Brick,1,"27,051",129,,GOSHEN TWP,0.621,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,163",,,,,Available,549,1,Central,Public,Public,,,,,,,
"572 Miami Trace Ct, Loveland, OH 45140",4.0,3.5,3420.0,0.4589990817263544,13.304684934198283,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,MIAMI TRAILS,"3,420","4,392",2,,MIAMI TRAILS BLK B LOT 30,Masonry/Brick Garage,744,Masonry/Brick,1,"19,994",30,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,224",B,,,,Available,972,1,Central,Public,Public,,,,,,,
"6532 Covey Ct, Loveland, OH 45140",3.0,2.0,1984.0,0.7699954086317723,12.611537753638338,2,8,Central,1,Wood Stove,Average,,,Frame,Residential,WINDING WOODS,"1,984","2,492",2,,WINDING WOODS B LOT 6,Frame Garage,484,Frame,1,"33,541",6,,MIAMI TWP,0.77,SINGLE FAMILY,2022,,Full,Wood,7,Conventional,720,,,,,Available,508,,Central,,,,,,,,,
"1513 Charleston Ln, Loveland, OH 45140",4.0,3.0,2278.0,0.507,12.89921982609012,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,TANGLEWOOD 05,"2,878","2,878",2,,TANGLEWOOD V BLK 5 LOT 172,Masonry/Brick Garage,534,Masonry/Brick,1,"22,085",172,,MIAMI TWP,0.507,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,035",5,,,,Available,600,1,Central,Public,Public,Finished,,,,,,
"9831 Rich Rd, Loveland, OH 45140",3.0,3.0,2004.0,0.427,13.091904169919621,3,13,Forced Air,,,Average,Concrete,Brick,Masonry,Single Family,ASHWOOD ESTATES ADD,"3,455","3,896",,,,Attached Garage,441,Attached,1,"18,600",12,,DEERFIELD TWP,0.427,SINGLE FAMILY DWELLING,2022,,Full,,,,,,,,,,"1,572",1,,,,Finished,Building,,,,,
"6590 Nora Ct, Loveland, OH 45140",4.0,2.5,3741.0,0.23898071625344353,13.422467969854667,2,10,Central,1,Prefab,Average,,,Brick,Residential,JACKSON WOODS PH 1,"3,741","3,951",2,,JACKSON WOODS PHASE 1 LOT 28,Masonry/Brick Garage,700,Masonry/Brick,1,"10,406",28,,MIAMI TWP,0.2389,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,401",,,,,,210,1,Central,Public,Public,,,,,,,
"131 Apgar Dr, Loveland, OH 45140",4.0,4.0,3420.0,0.4359963269054178,13.304684934198283,3,,,1,,Average,,Brick/Frame,Frame/Masonry,,PHEASANT HILLS,"3,420","5,791",2,2,APGAR DR-MEADVIEW PLACE 99.98 X 159 FT IRR LOT 22PHEASANT HILLS ON THE,Attached Brick Garage,528,Attached Brick,1,"18,992",22,,LOVELAND CITY,0.436,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"1,843",,159,99.98,RESID-SINGLE FAMILY,Connected,"1,843",2,Central,,,,,2,,,,
"430 Wakefield Ave, Loveland, OH 45140",3.0,2.0,2016.0,0.258,12.560244459250788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6685 State Route 48, Loveland, OH 45140",3.0,2.0,1284.0,1.2699954086317722,12.487485104968359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1861 Lindenhall Dr, Loveland, OH 45140",3.0,3.0,1736.0,0.24299816345270892,12.283033686666302,2,,,1,,Average,Concrete Block,Brick,Frame/Masonry,,C HUBER HERNERT,"1,736","2,288",2,2,LINDENHALL DR 75.54 X 149.60 IRR-LOT 280 HERBERT C HUBER PLAT 45 E,Attached Garage,552,Attached,1,"10,585",280,,LOVELAND CITY,0.243,SINGLE FAMILY,2022,,Finished,Gas,6,Bi-Level,552,,149.6,75.54,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,2,,,,
"6215 Hickory Ridge Dr, Loveland, OH 45140",4.0,3.0,1800.0,0.6199954086317723,12.706544857216672,2,8,Central,1,Wood Stove,Average,,,Brick,Residential,TIMBERKNOLL ACRES,"1,800","1,800",1,,TIMBERKNOLL ACRES LOT 26,Masonry/Brick Garage,480,Masonry/Brick,1,"27,007",26,,MIAMI TWP,0.62,SINGLE FAMILY,2022,,Full,,6,Ranch,"1,800",,,,,Available,,,Central,Public,Public,,,,,,,
"2536 Allegro Ln, Loveland, OH 45140",3.0,3.0,1423.0,0.11000000000000001,12.358793732547838,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 2,"1,423","1,423",2,,CAMERON CROSSING SECTION 2 LOT 127,Frame Garage,400,Frame,1,"4,792",127,,GOSHEN TWP,0.11,SINGLE FAMILY,2022,,,,6,Conventional,416,,,,,,,1,Central,Public,Public,,,,,,,
"6049 Marsh Cir, Loveland, OH 45140",3.0,3.0,1370.0,0.116,12.375815420117268,2,10,Central,,,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 2,"1,370","1,370",2,,WOODLAND STREAMS SECTION 2 LOT 124,Frame Garage,170,Frame,1,"5,083",124,,GOSHEN TWP,0.1167,SINGLE FAMILY,2022,,,,6,Conventional,600,,,,,,,1,Central,Public,Public,,,,,,,
"337 Fieldcrest Ln, Loveland, OH 45140",3.0,2.0,1955.0,0.7709825528007346,12.873902018105829,1,7,Central,2,Wood Stove,Average,,,Frame,Residential,CLERMONT ACRES,"2,358","2,886",1.5,,CLERMONT ACRES LOT 14,Frame Garage,"1,352",Frame,1,"60,026",14,,MIAMI TWP,1.378,SINGLE FAMILY,2022,,Full,,7,Cape Cod,"1,220",,,,,Available,528,1,Central,Public,Public,,,,,,,
"6838 State Route 48, Loveland, OH 45140",3.0,1.0,1700.0,0.5,12.40860524294026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6685 Oakland Rd, Loveland, OH 45140",3.0,2.0,1284.0,1.27,12.487485104968359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11720 Retview Ln, Loveland, OH 45140",4.0,2.5,3468.0,0.779981634527089,13.06685066747407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9958 Columbia Rd, Loveland, OH 45140",3.0,3.0,2092.0,0.5399908172635446,12.515026853257494,2,10,Baseboard,1,1 Opening,Fair,Concrete Block,Frame/Masonry,,Single Family,MIAMI PURCHASE,"2,092","2,092",,Split Level,2 -4-20 .5160 AC.,,,,1,"22,477",,LOVELAND CITY,DEERFIELD TWP,0.516,SGL FAM DWG 0-9.99 AC,2022,KINGS LSD,Partial,,,Split Level,,,195,100,,,360,1,,,,Finished,,,,,,
"9437 Kempergrove Ln, Loveland, OH 45140",4.0,4.0,3826.0,0.772,13.17115354157376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4099 Crestview Dr, Loveland, OH 45140",3.0,1.5,1252.0,0.697979797979798,12.301382825334498,1,7,Forced Air,1,1 Opening,Good,Concrete Block,Brick,Masonry,Single Family,SEILCREST ACRES,"1,252","1,892",1,1,SEILCREST ACRE #45 &amp; PT44,Attached Garage,640,Attached,1,"30,405",45,LOVELAND CITY,DEERFIELD TWP,0.698,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,190,160,,,,1,,,,Finished,,,,,,
"6697 Pin Oak Dr, Loveland, OH 45140",3.0,1.0,960.0,0.2899908172635445,12.230765258120545,1,5,Central,,,Average,,,Aluminum/Vinyl,Residential,OAK KNOLL ESTATES II SEC 4,960,960,1,,OAK KNOLL ESTATES II SECTION 4 LOT 124,Frame Garage,288,Frame,1,"12,763",124,,GOSHEN TWP,0.293,SINGLE FAMILY,2022,,,Gas,5,Ranch,960,,,,,Available,,,,Public,Public,,,,,,,
"6838 Oakland Rd, Loveland, OH 45140",3.0,1.0,1700.0,0.495,12.40860524294026,1,5,Central,1,Wood Stove,Average,,,Brick,,,"1,700","1,700",1,,,Frame Garage,980,Frame,1,"21,562",,,GOSHEN TWP,0.495,SINGLE FAMILY,2022,,Full,,7,Ranch,896,,,,,,,,Central,Public,Public,,,2,,,,
"10135 Meadowknoll Dr, Loveland, OH 45140",3.0,2.0,2105.0,0.5189853076216713,12.994530005894443,2,,,1,,Average,,,Frame/Masonry,,GREEN OAKS SUB,"2,105","4,596",1,,MEADOWKNOLL DR .519 AC LOT 32 GREEN OAKS SUB BLK C,Attached Brick Garage,420,Attached Brick,1,"22,608",32,,SYMMES TOWNSHIP,0.519,SINGLE FAMILY,2022,,Full,Gas,7,Conventional,"2,105",C,,,RESID-SINGLE FAMILY,Connected,"2,071",,Central,,,,,,B,,,
"337 Fieldcrest Ln, Loveland, OH 45140",4.0,3.0,2358.0,1.378,12.873902018105829,1,7,Central,2,Wood Stove,Average,,,Frame,Residential,CLERMONT ACRES,"2,358","2,886",1.5,,CLERMONT ACRES LOT 14,Frame Garage,"1,352",Frame,1,"60,026",14,,MIAMI TWP,1.378,SINGLE FAMILY,2022,,Full,,7,Cape Cod,"1,220",,,,,Available,528,1,Central,Public,Public,,,,,,,
